g1,g2
0.008629813,8.704147e-05
0.008191507,0.0011446013
0.0074647088,0.0020839276
0.0065132463,0.0028580823
0.005398365,0.003425733
0.0041823257,0.0037518863
0.0029296023,0.0038095184
0.0017067604,0.0035815388
0.0005812329,0.003062674
-0.00038079947,0.0022610119
-0.0011174101,0.0011987804
-0.0015738771,-8.741867e-05
-0.0017059394,-0.001547195
-0.0014826312,-0.0031177178
-0.00088897446,-0.004725933
7.202949e-05,-0.006291485
0.00137835,-0.007730172
0.0029884186,-0.008958
0.004841889,-0.009895609
0.006861358,-0.01047254
0.008955053,-0.010631611
0.011020324,-0.010333139
0.012948394,-0.009557987
0.014629517,-0.008310158
0.015958318,-0.0066185594
0.016839612,-0.0045372564
0.017194265,-0.0021445325
0.016964326,0.00045923353
0.016117714,0.0031552254
0.014651617,0.0058110137
0.012595482,0.008286507
0.01001096,0.010440594
0.0069915703,0.012138263
0.0036603827,0.013258089
0.00016562811,0.013699271
-0.003324889,0.013388624
-0.006630948,0.012285925
-0.009568172,0.010388695
-0.011957343,0.007735126
-0.013634088,0.0044049663
-0.014458511,0.00051849015
-0.014323911,-0.0037663302
-0.013165013,-0.008258971
-0.010964573,-0.012743782
-0.007757832,-0.016988866
-0.0036346936,-0.02075681
0.0012608457,-0.023816472
0.0067337886,-0.025955295
0.012544534,-0.026992436
0.018418133,-0.026789924
0.024055514,-0.025263775
0.029147321,-0.02239267
0.033389166,-0.01822365
0.03649758,-0.012875533
0.038227003,-0.006537201
0.03838467,0.0005364713
0.036844365,0.008033725
0.03355799,0.015597819
0.028563995,0.022842618
0.021991825,0.029370744
0.014061614,0.034793437
0.0050796587,0.03875097
-0.004570835,0.04093289
-0.01444379,0.0410973
-0.024047825,0.03908796
-0.03286912,0.034847174
-0.04039509,0.028426416
-0.046141177,0.019990785
-0.04967758,0.009820634
-0.050655294,-0.0016948294
-0.048831604,-0.014068382
-0.04408926,-0.026731173
-0.03645415,-0.039054293
-0.026102394,-0.050375644
-0.01336579,-0.0600314
0.001275824,-0.06738937
0.017206503,-0.071886405
0.033696707,-0.073064096
0.04993309,-0.0706005
0.06505355,-0.06434132
0.078187644,-0.05432438
0.088505305,-0.04078807
0.0952584,-0.024179129
0.09783113,-0.0051388214
0.09577668,0.015514971
0.08885541,0.036821935
0.077060595,0.05772163
0.060608298,0.07708941
0.039944667,0.09378164
0.0159137,0.10677468
-0.010451363,0.11518925
-0.03804672,0.11829915
-0.06562523,0.11553121
-0.09175452,0.106585875
-0.11494408,0.091477625
-0.133768,0.070503026
-0.14690003,0.04428561
-0.15320674,0.013758652
-0.15182441,-0.019854214
-0.14224486,-0.055070758
-0.124460034,-0.09019971
-0.09876996,-0.12340602
-0.06586336,-0.15256695
-0.02669726,-0.17479903
