k_p_mzae,k_p_wm,k_p_DNS,pdf_p_mzae,pdf_p_wm,pdf_p_DNS
0.08,0.08,0.08,0.0,0.0,0.0
0.07929292929292929,0.07929292929292929,0.07929292929292929,0.0,0.0,0.0
0.07858585858585859,0.07858585858585859,0.07858585858585859,0.0,0.0,0.0
0.07787878787878788,0.07787878787878788,0.07787878787878788,0.0,0.0,0.0
0.07717171717171717,0.07717171717171717,0.07717171717171717,0.0,0.0,0.0
0.07646464646464647,0.07646464646464647,0.07646464646464647,0.0,0.0,0.001
0.07575757575757576,0.07575757575757576,0.07575757575757576,0.0,0.0,0.002
0.07505050505050505,0.07505050505050505,0.07505050505050505,0.0,0.0,0.008
0.07434343434343435,0.07434343434343435,0.07434343434343435,0.0,0.0,0.024
0.07363636363636364,0.07363636363636364,0.07363636363636364,0.0,0.0,0.061
0.07292929292929293,0.07292929292929293,0.07292929292929293,0.0,0.0,0.138
0.07222222222222222,0.07222222222222222,0.07222222222222222,0.0,0.0,0.273
0.07151515151515152,0.07151515151515152,0.07151515151515152,0.0,0.0,0.474
0.0708080808080808,0.0708080808080808,0.0708080808080808,0.0,0.001,0.726
0.07010101010101011,0.07010101010101011,0.07010101010101011,0.0,0.003,0.984
0.0693939393939394,0.0693939393939394,0.0693939393939394,0.0,0.011,1.189
0.06868686868686869,0.06868686868686869,0.06868686868686869,0.001,0.032,1.292
0.06797979797979797,0.06797979797979797,0.06797979797979797,0.003,0.079,1.279
0.06727272727272728,0.06727272727272728,0.06727272727272728,0.009,0.17,1.175
0.06656565656565656,0.06656565656565656,0.06656565656565656,0.025,0.323,1.026
0.06585858585858585,0.06585858585858585,0.06585858585858585,0.06,0.549,0.881
0.06515151515151515,0.06515151515151515,0.06515151515151515,0.125,0.843,0.78
0.06444444444444444,0.06444444444444444,0.06444444444444444,0.226,1.186,0.756
0.06373737373737373,0.06373737373737373,0.06373737373737373,0.361,1.549,0.843
0.06303030303030303,0.06303030303030303,0.06303030303030303,0.524,1.899,1.071
0.06232323232323232,0.06232323232323232,0.06232323232323232,0.722,2.212,1.462
0.06161616161616161,0.06161616161616161,0.06161616161616161,0.994,2.48,2.009
0.06090909090909091,0.06090909090909091,0.06090909090909091,1.402,2.722,2.672
0.0602020202020202,0.0602020202020202,0.0602020202020202,2.004,2.982,3.386
0.05949494949494949,0.05949494949494949,0.05949494949494949,2.808,3.31,4.09
0.058787878787878785,0.058787878787878785,0.058787878787878785,3.751,3.739,4.741
0.05808080808080808,0.05808080808080808,0.05808080808080808,4.719,4.262,5.325
0.05737373737373737,0.05737373737373737,0.05737373737373737,5.593,4.832,5.851
0.056666666666666664,0.056666666666666664,0.056666666666666664,6.286,5.379,6.334
0.05595959595959596,0.05595959595959596,0.05595959595959596,6.758,5.841,6.791
0.05525252525252525,0.05525252525252525,0.05525252525252525,7.011,6.189,7.239
0.05454545454545454,0.05454545454545454,0.05454545454545454,7.093,6.441,7.69
0.05383838383838384,0.05383838383838384,0.05383838383838384,7.087,6.653,8.153
0.053131313131313126,0.053131313131313126,0.053131313131313126,7.094,6.888,8.631
0.05242424242424242,0.05242424242424242,0.05242424242424242,7.203,7.199,9.124
0.05171717171717172,0.05171717171717172,0.05171717171717172,7.474,7.606,9.628
0.051010101010101006,0.051010101010101006,0.051010101010101006,7.925,8.109,10.132
0.0503030303030303,0.0503030303030303,0.0503030303030303,8.538,8.689,10.614
0.049595959595959596,0.049595959595959596,0.049595959595959596,9.275,9.316,11.04
0.048888888888888885,0.048888888888888885,0.048888888888888885,10.098,9.946,11.382
0.04818181818181818,0.04818181818181818,0.04818181818181818,10.964,10.529,11.639
0.04747474747474747,0.04747474747474747,0.04747474747474747,11.824,11.034,11.838
0.046767676767676764,0.046767676767676764,0.046767676767676764,12.612,11.49,12.021
0.04606060606060606,0.04606060606060606,0.04606060606060606,13.258,11.986,12.22
0.04535353535353535,0.04535353535353535,0.04535353535353535,13.71,12.647,12.446
0.04464646464646464,0.04464646464646464,0.04464646464646464,13.962,13.571,12.7
0.04393939393939394,0.04393939393939394,0.04393939393939394,14.065,14.797,13.009
0.043232323232323226,0.043232323232323226,0.043232323232323226,14.129,16.29,13.442
0.04252525252525252,0.04252525252525252,0.04252525252525252,14.294,17.948,14.095
0.04181818181818182,0.04181818181818182,0.04181818181818182,14.674,19.627,15.032
0.041111111111111105,0.041111111111111105,0.041111111111111105,15.317,21.187,16.228
0.0404040404040404,0.0404040404040404,0.0404040404040404,16.205,22.527,17.551
0.039696969696969696,0.039696969696969696,0.039696969696969696,17.277,23.579,18.79
0.038989898989898984,0.038989898989898984,0.038989898989898984,18.45,24.286,19.744
0.03828282828282828,0.03828282828282828,0.03828282828282828,19.61,24.59,20.305
0.03757575757575757,0.03757575757575757,0.03757575757575757,20.619,24.473,20.512
