omega1,omega2,time
-0.00014772266,-0.0011351239,0
-0.00014772266,-0.0011351239,1
-0.00013225526,-0.0011121165,2
-0.0001167953,-0.0010732319,3
-0.000111311674,-0.0010255929,4
-0.00012218207,-0.00097584724,5
-0.00015292317,-0.0009299442,6
-0.00020471215,-0.0008930396,7
-0.00027680397,-0.00086940266,8
-0.00036715716,-0.0008624643,9
-0.0004722923,-0.0008746218,10
-0.00058775395,-0.00090717524,11
-0.0007080734,-0.0009602625,12
-0.00082728267,-0.0010328721,13
-0.0009390786,-0.0011228211,14
-0.0010369197,-0.001226766,15
-0.0011147037,-0.0013403706,16
-0.0011668429,-0.0014585536,17
-0.0011885986,-0.0015754551,18
-0.0011764616,-0.001684919,19
-0.0011286363,-0.001780929,20
-0.0010447428,-0.0018574279,21
-0.0009262189,-0.0019090157,22
-0.0007767156,-0.001931347,23
-0.00060173124,-0.0019211117,24
-0.00040831417,-0.0018764175,25
-0.00020520389,-0.0017970819,26
-2.1830201e-06,-0.0016845725,27
0.00019004196,-0.001542069,28
0.0003612414,-0.0013745427,29
0.00050059706,-0.001188539,30
0.0005985871,-0.0009921342,31
0.0006472692,-0.00079452246,32
0.0006403774,-0.0006058477,33
0.00057426095,-0.00043632463,34
0.00044798106,-0.00029644184,35
0.00026370585,-0.00019573607,36
2.6606023e-05,-0.00014247,37
-0.00025518984,-0.00014325418,38
-0.0005707815,-0.0002023913,39
-0.0009063855,-0.0003212355,40
-0.0012463406,-0.000498008,41
-0.0015736818,-0.00072783045,42
-0.0018706396,-0.0010023862,43
-0.0021195933,-0.0013104249,44
-0.002303876,-0.0016380902,45
-0.0024090037,-0.001969356,46
-0.0024233684,-0.0022875126,47
-0.0023388118,-0.0025747642,48
-0.0021520928,-0.0028142687,49
-0.0018649846,-0.0029906128,50
-0.0014846697,-0.0030903518,51
-0.001024209,-0.0031035691,52
-0.0005010739,-0.0030232742,53
6.187707e-05,-0.0028471425,54
0.00063791126,-0.0025767125,55
0.0011977479,-0.002218429,56
0.0017111003,-0.0017832723,57
0.0021481067,-0.0012866743,58
0.0024806038,-0.0007481836,59
0.002684079,-0.00019124895,60
0.002739139,0.0003575217,61
0.002632618,0.0008695852,62
0.0023593456,0.001315549,63
0.0019209012,0.0016659219,64
0.001328133,0.0018941313,65
0.0005996153,0.0019769669,66
-0.00023764372,0.0018984806,67
-0.0011492744,0.001649145,68
-0.0020960793,0.0012287684,69
-0.0030325726,0.0006470941,70
-0.0039118156,-7.526949e-05,71
-0.0046829656,-0.00090833753,72
-0.0052990243,-0.0018136315,73
-0.0057139397,-0.0027456097,74
-0.005889654,-0.0036560614,75
-0.0057964474,-0.0044954903,76
-0.005415462,-0.005214613,77
-0.004743077,-0.005770441,78
-0.0037932172,-0.0061282404,79
-0.0025918856,-0.0062574185,80
-0.0011870414,-0.006140977,81
0.00036419183,-0.005767897,82
0.0019868389,-0.0051398035,83
0.003599748,-0.0042670313,84
0.0051156953,-0.0031702332,85
0.00641644,-0.0018867739,86
0.007383786,-0.0004666373,87
0.00810083,0.0010679159,88
0.008484408,0.0026597548,89
0.008378401,0.0042310357,90
0.007744722,0.005655762,91
0.0066685304,0.0068607386,92
0.005202323,0.0077752825,93
0.003361456,0.008292638,94
0.0012257025,0.008352613,95
-0.001123704,0.007904775,96
-0.0035927668,0.006927412,97
-0.0060928315,0.005439613,98
-0.008613534,0.0035243575,99
-0.010906853,0.0012681093,100
-0.012715913,-0.0010197535,101
-0.013431989,-0.0025435463,102
-0.013664342,-0.004107142,103
-0.0133353695,-0.005568618,104
-0.012338065,-0.0069357865,105
-0.010683335,-0.008198123,106
-0.008451499,-0.00926476,107
-0.005750783,-0.010065425,108
-0.002666317,-0.010413516,109
0.0007253438,-0.01035586,110
0.0041747615,-0.009312216,111
0.007312909,-0.0076846667,112
0.010046527,-0.0056544766,113
0.012211889,-0.0031615533,114
0.013125733,-0.00073152594,115
0.013429202,0.0021788795,116
0.0132372305,0.0055025388,117
0.012598313,0.0091894455,118
0.011604957,0.0128138475,119
0.009843491,0.01528129,120
0.007277757,0.017173093,121
0.0033449158,0.01663851,122
-0.00086171925,0.015196957,123
-0.0058404654,0.01262326,124
-0.010956593,0.009288862,125
-0.015050642,0.0051966533,126
-0.017097346,0.002783198,127
-0.018052272,0.0009095352,128
-0.018714704,-0.0009364933,129
-0.018769063,-0.0022229273,130
-0.01776687,-0.0036806557,131
-0.015787967,-0.0059636906,132
-0.013473369,-0.008044619,133
-0.010122277,-0.009625141,134
-0.0048003644,-0.010779895,135
0.00089138746,-0.01125887,136
0.0029951409,-0.01052627,137
0.004837282,-0.009016585,138
0.007873692,-0.006182272,139
0.009706788,-0.0037064645,140
0.011649884,0.00015257299,141
0.013057388,0.0044206753,142
0.0139391795,0.008468056,143
0.0125383735,0.012342673,144
0.009276144,0.016248807,145
0.006205164,0.020088837,146
0.0041306615,0.019183159,147
-0.00018787384,0.016911563,148
-0.006318763,0.01456438,149
-0.010306425,0.010386957,150
-0.013688348,0.0063109044,151
-0.012826405,0.0032671746,152
-0.012301929,0.0005777553,153
-0.013188966,-0.0011434089,154
-0.012360372,-0.0017521605,155
-0.012010716,-0.0019924454,156
-0.0118517205,-0.0028076563,157
-0.010020502,-0.004915988,158
-0.006660916,-0.007123854,159
-0.0010072738,-0.008725621,160
0.0012401715,-0.0075558536,161
0.0023123696,-0.0064116977,162
0.003685996,-0.004981555,163
0.004934132,-0.0032174326,164
0.007577449,0.00022660941,165
0.008400977,0.0044627395,166
0.00819315,0.0070570204,167
0.0077845156,0.009211902,168
0.004974723,0.01121746,169
0.002606891,0.012796525,170
0.0017806813,0.012961302,171
-4.258752e-05,0.011262983,172
-0.0042481422,0.007982893,173
-0.0068110526,0.0038119927,174
-0.0072981343,0.0025316887,175
-0.0070651695,0.0026829708,176
-0.006370507,-0.00011173263,177
-0.006100893,-0.0010146685,178
-0.005803831,-0.0010089893,179
-0.0059835464,-0.00067204796,180
-0.006294392,-0.0011248663,181
-0.0049869567,-0.00259234,182
-0.0010468215,-0.005277984,183
0.00018291175,-0.0047609787,184
0.0013448372,-0.00332875,185
0.0018465295,-0.0023833402,186
0.0019941106,-0.0018752348,187
0.0042058825,0.00053487346,188
0.00422471,0.0027117692,189
0.0030631348,0.0035333429,190
0.002402313,0.004994195,191
0.0028252676,0.005261084,192
0.0013520196,0.0058572125,193
0.0011189878,0.0063388534,194
0.00026342273,0.0060698465,195
-0.001968868,0.0043174922,196
-0.0034387931,0.0015201028,197
-0.0030854195,0.00059481896,198
-0.0027441606,0.0015561413,199
-0.002632305,1.616776e-06,200
-0.0018881187,-0.0006681755,201
-0.0018938035,-0.00019603781,202
-0.0024228543,0.00047609955,203
-0.003037475,0.00015431829,204
-0.0019459799,-0.0012107342,205
0.0005583614,-0.0035044476,206
0.0005060509,-0.00234057,207
0.0009961501,-0.00094071217,208
0.0007355884,-0.0005939454,209
0.00092212856,-0.00038105436,210
0.0027586892,0.001016805,211
0.00090604275,0.0013171658,212
8.404255e-05,0.0019977689,213
-9.268522e-05,0.0029035583,214
0.0014072657,0.0014218185,215
0.0008175522,0.0029310398,216
0.00087212026,0.0027610157,217
0.00041560084,0.0026531126,218
-0.0014824793,0.00067863613,219
-0.0018556193,-0.00020883419,220
-0.00024866313,0.000116297975,221
-0.0004948601,0.0016738996,222
-0.0002481863,-0.0002766475,223
0.0005086586,-0.0002718307,224
4.541874e-05,0.0003685467,225
-0.0007780269,0.0012772512,226
-0.0011330396,0.00042446516,227
0.00072322786,-0.001325829,228
-0.0004072562,-0.0018606223,229
0.0006011501,-0.00035999902,230
0.0008849278,0.000607118,231
0.00012667477,0.0003947653,232
0.0011573955,0.001069922,233
0.000315167,0.0005767811,234
-0.0012747422,0.0006180983,235
-0.001535669,0.0009910148,236
0.0012971237,-0.00038171746,237
0.0006563142,-0.00024851225,238
0.0005751774,0.0007931087,239
0.0007062033,0.0012507923,240
2.1405518e-05,0.0011654533,241
