xseq_norm,xkoop_norm,time
0.05444359,0.009954843,0
0.05444359,0.009540555,1
0.053266782,0.008939646,2
0.051346034,0.008204415,3
0.049065325,0.007374893,4
0.04677527,0.0064809388,5
0.044823695,0.0055433195,6
0.043576077,0.0045763534,7
0.04339543,0.0035957957,8
0.044582505,0.0026447675,9
0.047275953,0.0018903319,10
0.05141105,0.0018182377,11
0.05674547,0.0026565283,12
0.062940076,0.0039821644,13
0.06961885,0.0055468855,14
0.07639762,0.007257592,15
0.082915045,0.0090572545,16
0.088838466,0.01089271,17
0.09386436,0.012707531,18
0.09773902,0.014441688,19
0.10028094,0.01603399,20
0.1013579,0.017425653,21
0.10091836,0.018564116,22
0.09900805,0.019407371,23
0.09574843,0.019927997,24
0.09133397,0.02011692,25
0.08602756,0.019986948,26
0.08012108,0.019575218,27
0.073898174,0.018944386,28
0.06759548,0.018181082,29
0.06133832,0.017390918,30
0.05511071,0.016684687,31
0.04874135,0.016157793,32
0.041928068,0.015865114,33
0.034302283,0.015803022,34
0.025549263,0.01591263,35
0.015619733,0.016103929,36
0.006893251,0.016291276,37
0.013918877,0.01642691,38
0.028803417,0.016527116,39
0.045736555,0.016688358,40
0.06383502,0.017083991,41
0.0824644,0.017926473,42
0.10093907,0.019391743,43
0.118521914,0.021542825,44
0.13445047,0.02430692,45
0.14798976,0.027510349,46
0.15849821,0.030930134,47
0.16543964,0.034333438,48
0.16850254,0.037500203,49
0.16762982,0.04023862,50
0.1630644,0.04239731,51
0.15544103,0.043876898,52
0.14575341,0.044642195,53
0.13544671,0.044734284,54
0.12625241,0.04428036,55
0.1199084,0.04349788,56
0.11754484,0.042685557,57
0.11909314,0.04218793,58
0.123231195,0.042323228,59
0.12798283,0.043287292,60
0.13138296,0.045080952,61
0.13186547,0.04750883,62
0.12847963,0.05024751,63
0.1209334,0.05293675,64
0.110027544,0.055255353,65
0.098257504,0.056975774,66
0.09099949,0.05800353,67
0.09560374,0.058411174,68
0.11556028,0.058462683,69
0.14748114,0.05861739,70
0.18608676,0.05947338,71
0.22688067,0.06162385,72
0.266383,0.065444656,73
0.30151027,0.070940696,74
0.3297047,0.07774638,75
0.34888402,0.08526192,76
0.35756543,0.09280932,77
0.35526586,0.099746175,78
0.3427865,0.10554061,79
0.3221336,0.10982004,80
0.29748142,0.11240894,81
0.2748769,0.11336327,82
0.26208618,0.113002054,83
0.2655189,0.11191683,84
0.28624323,0.1109452,85
0.3180967,0.11105898,86
0.3518855,0.1131127,87
0.38862216,0.11757925,88
0.42289612,0.1245231,89
0.4464192,0.13341455,90
0.45611668,0.14333957,91
0.45505077,0.15326189,92
0.44494706,0.16222505,93
0.42558283,0.16944925,94
0.40151843,0.17441842,95
0.37974375,0.17697905,96
0.3711545,0.17743245,97
0.388471,0.17661786,98
0.4426403,0.17594439,99
0.5222422,0.17729998,100
0.6067312,0.18232521,101
0.65020055,0.19168176,102
0.67862105,0.20396568,103
0.6873299,0.21820486,104
0.67318267,0.23286116,105
0.64048207,0.24641714,106
0.5964456,0.25765547,107
0.5513545,0.26569816,108
0.5112611,0.27011093,109
0.49374825,0.2709299,110
0.4853757,0.26893064,111
0.5045407,0.26528904,112
0.5483132,0.26180786,113
0.5999662,0.26072016,114
0.62525,0.26411077,115
0.6470672,0.27248397,116
0.6818125,0.28627244,117
0.74166167,0.30469465,118
0.82223827,0.32598448,119
0.8645392,0.3474903,120
0.8870987,0.36586323,121
0.8071875,0.37935784,122
0.72395307,0.38645333,123
0.6615304,0.38752058,124
0.68318415,0.38489735,125
0.7573016,0.38199204,126
0.8238814,0.38213912,127
0.8596845,0.38677204,128
0.89121556,0.39719504,129
0.89892626,0.4137041,130
0.8629637,0.43368417,131
0.80268687,0.45413062,132
0.7463502,0.4728906,133
0.66433877,0.48693317,134
0.56124663,0.49435288,135
0.5371659,0.49582067,136
0.520519,0.4922342,137
0.48666054,0.48160902,138
0.47612852,0.46749517,139
0.49418253,0.45683408,140
0.554135,0.45360008,141
0.655657,0.46239695,142
0.7757194,0.4834364,143
0.8368041,0.5128651,144
0.8898863,0.5454192,145
1.0,0.5769766,146
0.9332943,0.60339224,147
0.8043911,0.61699206,148
0.7550893,0.61878747,149
0.6959475,0.613203,150
0.7169013,0.6023397,151
0.62952465,0.5925748,152
0.5857447,0.5867307,153
0.6296416,0.59143966,154
0.5937567,0.6088903,155
0.579056,0.63415843,156
0.5792886,0.6610708,157
0.53085554,0.68349916,158
0.46385905,0.6981043,159
0.4177608,0.70287293,160
0.36417723,0.6989122,161
0.3241768,0.6836606,162
0.29473805,0.66104853,163
0.28015992,0.63885057,164
0.36055696,0.6251796,165
