xseq_norm,xkoop_norm,time
0.12151766,0.024273865,0.0
0.12151766,0.02589644,0.25
0.13219006,0.027648594,0.5
0.14893465,0.02990892,0.75
0.16823225,0.032924518,1.0
0.18732731,0.03672197,1.25
0.20408423,0.041126475,1.5
0.21687655,0.045841902,1.75
0.22458811,0.05052904,2.0
0.2265828,0.054859903,2.25
0.22281094,0.058550898,2.5
0.21386805,0.061387185,2.75
0.20113564,0.06324307,3.0
0.18678547,0.064101614,3.25
0.17382841,0.06407178,3.5
0.16560647,0.06340247,3.75
0.16471793,0.062481623,4.0
0.17155531,0.061805952,4.25
0.18405542,0.061898258,4.5
0.19878693,0.06317056,4.75
0.21239509,0.06578012,5.0
0.22229661,0.069570445,5.25
0.22656739,0.07413084,5.5
0.22424322,0.07892209,5.75
0.21530882,0.08340202,6.0
0.20093812,0.0871165,6.25
0.18447144,0.08976105,6.5
0.17209859,0.09123302,6.75
0.17276827,0.09167714,7.0
0.19337876,0.09152247,7.25
0.23289895,0.09148528,7.5
0.28482717,0.09248145,7.75
0.3417824,0.0954084,8.0
0.39751825,0.10082365,8.25
0.44514093,0.10871312,8.5
0.47464126,0.118454635,8.75
0.4813505,0.1289691,9.0
0.4780665,0.13911888,9.25
0.4672344,0.14807932,9.5
0.45065987,0.15524632,9.75
0.43125486,0.16022892,10.0
0.39159173,0.16288394,10.25
0.36429924,0.16339032,10.5
0.35962963,0.16238736,10.75
0.37597463,0.16087759,11.0
0.4086817,0.1599045,11.25
0.44821134,0.16078441,11.5
0.49574906,0.1646415,11.75
0.5248682,0.17218567,12.0
0.55187386,0.18286817,12.25
0.5871448,0.19583617,12.5
0.6239786,0.2098459,12.75
0.64318526,0.22338349,13.0
0.64700776,0.2350965,13.25
0.6316796,0.24397542,13.5
0.5843125,0.24943148,13.75
0.5211773,0.25129947,14.0
0.5088866,0.2504537,14.25
0.55525064,0.24874844,14.5
0.65916663,0.2486844,14.75
0.75895804,0.25293854,15.0
0.8261953,0.2619833,15.25
0.8696294,0.27503592,15.5
0.8830576,0.2912744,15.75
